YEARS,Tourists_Number,Overnight_Stay,Tourists_Spending,Avg_Stay,Avg_Spending_Trip,Avg_Spending_Night,Province,Tourism_Type
2023,2774.0,52163.0,11759.0,18.8,4240.0,225.0,Riyadh,Inbound
2023,236.0,4816.0,783.0,20.4,3311.0,163.0,Riyadh,Inbound
2023,16348.0,98364.0,28576.0,6.0,1748.0,291.0,Riyadh,Domestic
2023,12343.0,68917.0,23661.0,5.6,1917.0,343.0,Riyadh,Domestic
2023,4005.0,29447.0,4915.0,7.4,1227.0,167.0,Riyadh,Domestic
2024,2861.0,40617.0,10574.0,14.2,3696.0,260.0,Riyadh,Inbound
2024,2699.0,37845.0,10269.0,14.0,3805.0,271.0,Riyadh,Inbound
2024,162.0,2772.0,304.0,17.1,1881.0,110.0,Riyadh,Inbound
2024,17597.0,107571.0,29493.0,6.1,1676.0,274.0,Riyadh,Domestic
2024,12716.0,76116.0,25154.0,6.0,1978.0,330.0,Riyadh,Domestic
2024,4881.0,31455.0,4339.0,6.4,889.0,138.0,Riyadh,Domestic
2015,1164.0,4769.0,980.0,4.1,842.0,206.0,Tabuk,Domestic
2015,30.3,102.5,38.0,3.4,1262.0,373.0,Tabuk,Domestic
2015,43.0,190.0,42.0,4.4,975.0,220.0,Tabuk,Domestic
2015,334.0,1162.0,203.0,3.5,606.0,174.0,Tabuk,Domestic
2015,648.0,2957.5,610.0,4.6,941.0,206.0,Tabuk,Domestic
2015,109.0,357.0,87.0,3.3,804.0,245.0,Tabuk,Domestic
2015,298.0,1477.0,754.0,5.0,2529.0,511.0,Tabuk,Inbound
2015,10.4,55.0,37.0,5.3,3551.0,675.0,Tabuk,Inbound
2015,48.0,100.0,64.0,2.1,1331.0,640.0,Tabuk,Inbound
2015,240.0,1322.0,653.0,5.5,2725.0,494.0,Tabuk,Inbound
2016,1150.0,4936.0,1000.0,4.3,869.0,203.0,Tabuk,Domestic
2016,56.8,227.0,53.0,4.0,941.0,236.0,Tabuk,Domestic
2016,99.0,265.0,55.0,2.7,555.0,207.0,Tabuk,Domestic
2016,178.0,818.0,169.0,4.6,949.0,206.0,Tabuk,Domestic
2016,725.2,3362.0,653.0,4.6,900.0,194.0,Tabuk,Domestic
2016,91.0,264.0,70.0,2.9,766.0,265.0,Tabuk,Domestic
2016,134.0,914.0,379.0,6.8,2826.0,415.0,Tabuk,Inbound
2016,1.2,3.4,3.0,2.7,2273.0,831.0,Tabuk,Inbound
2016,14.0,60.0,34.0,4.1,2319.0,562.0,Tabuk,Inbound
2016,13.0,90.0,31.0,7.1,2433.0,343.0,Tabuk,Inbound
2016,106.0,760.0,312.0,7.2,2949.0,410.0,Tabuk,Inbound
2017,1228.0,5965.0,1008.0,4.9,821.0,169.0,Tabuk,Domestic
2017,54.0,453.0,49.0,8.4,917.0,109.0,Tabuk,Domestic
2017,69.0,233.0,61.0,3.4,892.0,263.0,Tabuk,Domestic
2017,173.0,662.0,142.0,3.8,816.0,214.0,Tabuk,Domestic
2017,861.0,4394.0,709.0,5.1,823.0,161.0,Tabuk,Domestic
2017,72.0,223.0,47.0,3.1,658.0,212.0,Tabuk,Domestic
2017,105.0,403.0,255.0,3.8,2437.0,635.0,Tabuk,Inbound
2017,9.0,27.0,24.0,3.1,2773.0,887.0,Tabuk,Inbound
2017,7.0,24.0,17.0,3.5,2436.0,696.0,Tabuk,Inbound
2017,89.0,351.0,214.0,3.9,2404.0,611.0,Tabuk,Inbound
